# Slime Simulator State Dump
# Width: 640, Height: 480
# Agents: 1000
# LFSR State: 0x1E1AF7AB

# Agent states (x, y, angle) in fixed-point
00138000 000F1000 0ED
00136000 000E6000 23F
0013A000 000F1000 0E2
00136000 000E6000 228
0013E000 000F0000 0B4
00136000 000EC000 1CC
00140000 000EF000 3FD
00140000 000F0000 05F
00136000 000F0000 123
00137000 000E6000 2AA
00136000 000EE000 1B8
00140000 000EB000 3D4
00140000 000F0000 00C
00140000 000F0000 07C
00136000 000F0000 15D
00140000 000E6000 31F
00136000 000E6000 2A2
00136000 000EF000 1A9
00140000 000E8000 3B6
00140000 000EB000 3D1
00140000 000F0000 006
00140000 000F0000 071
00136000 000F0000 146
0013E000 000E6000 2F1
00136000 000E6000 246
00138000 000F0000 0F0
00136000 000E6000 244
00138000 000F1000 0ED
00136000 000E6000 23F
00139000 000F1000 0E3
00136000 000E6000 22A
0013E000 000F1000 0B9
00136000 000EB000 1D6
00140000 000F0000 011
00140000 000F0000 086
00136000 000F0000 170
00140000 000E6000 344
0013E000 000E6000 2ED
00136000 000E6000 23E
0013A000 000F1000 0E1
00136000 000E6000 227
0013E000 000F0000 0B3
00136000 000EC000 1CA
00141000 000EF000 3F8
00140000 000F0000 055
00136000 000F0000 10E
00136000 000E6000 280
00136000 000F0000 165
00140000 000E6000 32F
00139000 000E6000 2C2
00136000 000E9000 1E8
00140000 000F0000 034
0013C000 000F1000 0CC
00136000 000E7000 1FD
00140000 000F0000 05E
00136000 000F0000 120
00136000 000E6000 2A4
00136000 000EF000 1AC
00141000 000E9000 3BC
00140000 000EC000 3DD
00140000 000F0000 01F
00140000 000F0000 0A2
00136000 000EF000 1A9
00140000 000E8000 3B6
00141000 000EB000 3D0
00140000 000F0000 005
00140000 000F0000 06F
00136000 000F0000 143
0013D000 000E6000 2EA
00136000 000E6000 239
0013B000 000F1000 0D7
00136000 000E6000 212
00140000 000F0000 088
00136000 000F0000 174
00140000 000E6000 34C
0013F000 000E6000 2FD
00136000 000E6000 25F
00136000 000F0000 122
00137000 000E6000 2A8
00136000 000EE000 1B4
00141000 000EA000 3CC
00140000 000EF000 3FD
00140000 000F0000 05F
00136000 000F0000 123
00137000 000E6000 2AA
00136000 000EE000 1B9
00141000 000EB000 3D6
00140000 000F0000 011
00140000 000F0000 087
00136000 000F0000 173
00140000 000E6000 34A
0013F000 000E6000 2F8
00136000 000E6000 254
00136000 000F0000 10C
00136000 000E6000 27C
00136000 000F0000 15C
00140000 000E6000 31C
00136000 000E6000 29C
00136000 000F0000 19D
00140000 000E6000 39F
00140000 000E6000 3A3
00140000 000E7000 3AB
00141000 000E9000 3BA
00141000 000EC000 3D8
00140000 000F0000 014
00140000 000F0000 08C
00136000 000F0000 17D
00140000 000E6000 35F
00140000 000E6000 322
00137000 000E6000 2A9
00136000 000EE000 1B6
00140000 000EB000 3D1
00140000 000F0000 007
00140000 000F0000 073
00136000 000F0000 14B
0013F000 000E6000 2FA
00136000 000E6000 259
00136000 000F0000 117
00136000 000E6000 293
00136000 000F0000 18B
00140000 000E6000 37A
00140000 000E6000 359
00140000 000E6000 316
00136000 000E6000 291
00136000 000F0000 186
00140000 000E6000 371
00140000 000E6000 347
